日期,收支类型,金额,类别,二级分类,账户,账本,退款,优惠,备注,标签,报销账户,报销金额,报销明细,多币种,地址,创建用户,其他,附件1,附件2,附件3,附件4,附件5
2026-04-13 12:43,支出,-54.00 ,购物,电子产品,电子产品（ksc）,日常账本,,,,"switch壳, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-13 11:59,支出,-35.00 ,饮食,水果,♑️银联,日常账本,,,转账给汤乐妍,"周期生活, 消耗品, 蓝莓",,,,,北京市海淀区清华园街道紫荆路,,,查看附件,,,,
2026-04-13 11:29,支出,-57.00 ,购物,,♑️银联,日常账本,,,,"定位器, 波动生活",,,,,北京市海淀区清华园街道荷清路,,,,,,,
2026-04-13 11:29,支出,-17.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,北京市海淀区清华园街道荷清路,,,,,,,
2026-04-13 08:54,支出,-22.42 ,宠物,保险,建设银行,日常账本,,,,"泥石流, 周期生活",,,,,,,,,,,,
2026-04-13 08:54,支出,-22.42 ,宠物,保险,建设银行,日常账本,,,,"皮蛋, 周期生活",,,,,,,,,,,,
2026-04-12 19:16,支出,-375.72 ,饮食,水果,♑️银联,日常账本,,,4.65斤 尖10 80一斤 不是很甜，干湿适中，量好少，超低性价比,"周期生活, 吃好喝好, 消耗品, 胖达福, 榴莲, 黑",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-12 16:52,支出,-12.95 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-12 12:35,支出,-0.10 ,购物,日用品,♑️银联,日常账本,,,,"抽纸, 周期生活, 消耗品",,,,,,,,,,,,
2026-04-11 16:20,支出,-34.80 ,购物,电子产品,电子产品（ksc）,日常账本,,,【白色oled】支持带壳使用,"消费, joycon充电握把",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-11 16:15,支出,-17.90 ,饮食,水果,♑️银联,日常账本,,,彩箱【净重2.5斤】单果70g起 【头茬黄心油桃】脆甜,"周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-11 15:57,支出,-0.28 ,生活,水费,工商银行,日常账本,,,工商银行 账户余额补齐,"白, 周期生活",,,,,,,,,,,,
2026-04-11 15:10,支出,-26.60 ,饮食,,♑️银联,日常账本,,,,周期生活,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-11 10:30,支出,-3.80 ,生活,水费,♑️银联,日常账本,,,华清捷利,"洗衣服, 周期生活, 白",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-11 10:23,支出,-0.42 ,购物,,♑️银联,日常账本,,,,"夹子, 波动生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-10 20:53,支出,-20.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-04-10 20:53,支出,-11.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-04-10 15:28,支出,-9.80 ,饮食,饮料零食,交通银行,日常账本,,,好想来品牌零食,"消费, 巧乐兹, 红",,,,,北京市海淀区中关村街道中关村东路14号,,,,,,,
2026-04-10 14:17,支出,-30.00 ,娱乐,景点,旅游（苏黎世）,日常账本,,,北京市颐和园管理处,"消费, 黑",,,,,北京市海淀区青龙桥街道宫门前街15号,,,,,,,
2026-04-10 12:13,支出,-70.00 ,娱乐,电影,演出（音乐剧演唱会电影）,日常账本,,,,"小岛惊魂, 消费, 电影, 26.4北影",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-10 12:10,支出,-70.00 ,娱乐,电影,演出（音乐剧演唱会电影）,日常账本,,,,"局外人, 消费, 电影, 26.4北影",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-10 12:09,支出,-70.13 ,娱乐,电影,演出（音乐剧演唱会电影）,日常账本,,,,"傲慢与偏见, 消费, 电影, 26.4北影",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-10 09:13,支出,-7.53 ,购物,,♑️银联,日常账本,,,,"波动生活, 被子固定器",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-09 17:02,支出,-78.00 ,饮食,,♑️银联,日常账本,,,肉肉大米（中关村大融城店）,"周期生活, 吃好喝好",,,,,北京市海淀区海淀街道海淀中街,,,,,,,
2026-04-09 13:35,支出,-2.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,波动生活,,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-04-09 11:13,支出,-0.80 ,购物,,♑️银联,日常账本,,,,"小刀, 周期生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-08 18:54,支出,-18.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,北京市海淀区清华园街道荷清路,,,,,,,
2026-04-08 12:43,支出,-18.50 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-04-07 23:59,支出,-29.04 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-04-07 09:45,支出,-3.00 ,生活,水费,♑️银联,日常账本,,,华清捷利,"洗衣服, 周期生活, 白",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-07 07:32,支出,-9.66 ,购物,,♑️银联,日常账本,,,,"吸油纸, 周期生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-06 23:40,支出,-38.60 ,饮食,水果,♑️银联,日常账本,,,4盒【单果14mm+】净重500g,"周期生活, 消耗品, 蓝莓",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
